AnnotSV_ID	SV_chrom	SV_start	SV_end	SV_length	user#1	SV_type	Samples_ID	Annotation_mode	CytoBand	Gene_name	Closest_left	Closest_right	Gene_count	Tx	Tx_version	Tx_start	Tx_end	Overlapped_tx_length	Overlapped_CDS_length	Overlapped_CDS_percent	Frameshift	Exon_count	Location	Location2	Dist_nearest_SS	Nearest_SS_type	Intersect_start	Intersect_end	RE_gene	P_gain_phen	P_gain_hpo	P_gain_source	P_gain_coord	P_loss_phen	P_loss_hpo	P_loss_source	P_loss_coord	P_ins_phen	P_ins_hpo	P_ins_source	P_ins_coord	po_P_gain_phen	po_P_gain_hpo	po_P_gain_source	po_P_gain_coord	po_P_gain_percent	po_P_loss_phen	po_P_loss_hpo	po_P_loss_source	po_P_loss_coord	po_P_loss_percent	P_snvindel_nb	P_snvindel_phen	B_gain_source	B_gain_coord	B_gain_AFmax	B_loss_source	B_loss_coord	B_loss_AFmax	B_ins_source	B_ins_coord	B_ins_AFmax	B_inv_source	B_inv_coord	B_inv_AFmax	po_B_gain_allG_source	po_B_gain_allG_coord	po_B_gain_someG_source	po_B_gain_someG_coord	po_B_loss_allG_source	po_B_loss_allG_coord	po_B_loss_someG_source	po_B_loss_someG_coord	GC_content_left	GC_content_right	Repeat_coord_left	Repeat_type_left	Repeat_coord_right	Repeat_type_right	Gap_left	Gap_right	SegDup_left	SegDup_right	ENCODE_blacklist_left	ENCODE_blacklist_characteristics_left	ENCODE_blacklist_right	ENCODE_blacklist_characteristics_right	ACMG	HI	TS	DDD_HI_percent	ExAC_delZ	ExAC_dupZ	ExAC_cnvZ	ExAC_synZ	ExAC_misZ	GenCC_disease	GenCC_moi	GenCC_classification	GenCC_pmid	NCBI_gene_ID	HGNC_gene_ID	OMIM_ID	OMIM_phenotype	OMIM_inheritance	OMIM_morbid	OMIM_morbid_candidate	LOEUF_bin	GnomAD_pLI	ExAC_pLI	AnnotSV_ranking_score	AnnotSV_ranking_criteria	ACMG_class
14_55369012_55369387_DEL_1	14	55369012	55369387	-376	CNV003	DEL	NA	full	q22.2	GCH1	MIR4308	WDHD1	1																							dbVar:nssv17972065	14:55369020-55369381							dbVar:nssv15162475;dbVar:nssv15161908;dbVar:nssv15162476;dbVar:nssv15161629;dbVar:nssv15161107;nssv15161424;dbVar:nssv15161067;dbVar:nssv17976728;dbVar:nssv15137747;dbVar:nssv17517489	14:19000423-107289053;14:19280734-107287663;14:19327824-107287663;14:19794562-107234280;14:20511674-107285437;14:20619309-107263478;14:37671059-106985955;14:39665377-57181179;14:54654002-75828024	0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00	Dystonia, DOPA-responsive, 128230 (3) AD,AR;Hyperphenylalaninemia, BH4-deficient, B, 233910 (3) AR		dbVar:nssv15120311;dbVar:nssv15121702;dbVar:nssv17969640;dbVar:nssv18787116;dbVar:nssv17970792;morbid:GCH1;HI3:GCH1;dbVar:nssv17172654;dbVar:nssv16297058;dbVar:nssv15130232;dbVar:nssv16212216	14:51057730-56753637;14:52011565-55787316;14:53241195-55803026;14:54410920-55369403;14:54416751-55369403;14:55308735-55369544;14:55308736-55369544;14:55332040-55369387;14:55343415-55414889;14:55369020-55369401;14:55369030-55369420	0.01;0.01;0.01;0.04;0.04;0.62;0.62;1.01;0.53;96.34;91.56	26	Dystonia_5;GTP_cyclohydrolase_I_deficiency										IMH	14:34547844-76392174;14:47117867-63226284;14:47118176-63226299	0.2700									0.680	0.750														3		28.56	0.50957800130836	0.480372821686871	0.661531792397911	0.39768072567718	3.01486021851349							600225			yes		1	9.0292e-01	9.4249e-01	1.0	1A (cf Gene_count, RE_gene, +0.00);2A (cf P_loss_source, +1.00);3A (1 gene, +0.00);5F (+0.00)	5
14_55369012_55369387_DEL_1	14	55369012	55369387	-376	CNV003	DEL	NA	split	q22.2	GCH1				NM_000161	3	55308734	55369544	376	343	45	yes	6	exon1-intron1	5'UTR-CDS	27	5'	55369011	55369387								dbVar:nssv17972065	14:55369020-55369381															26	Dystonia_5;GTP_cyclohydrolase_I_deficiency										IMH	14:34547844-76392174;14:47117867-63226284;14:47118176-63226299	0.2700																								3	0	28.56	0.50957800130836	0.480372821686871	0.661531792397911	0.39768072567718	3.01486021851349	GTP cyclohydrolase I deficiency;GTP cyclohydrolase I deficiency with hyperphenylalaninemia;dystonia 5	AD;AR;sD	Definitive;Strong;Supportive	11113234;11956954;15753436;19332422;19491146;20301334;24509643;25557619;30742839;32278297;787416;9667588;NULL	2643	HGNC:4193	600225	Dystonia, DOPA-responsive, 128230 (3) AD,AR;Hyperphenylalaninemia, BH4-deficient, B, 233910 (3) AR	AD,AR;AR	yes		1	9.0292e-01	9.4249e-01			full=5
14_55369012_55369387_DEL_1	14	55369012	55369387	-376	CNV089	DEL	NA	full	q22.2	GCH1	MIR4308	WDHD1	1																							dbVar:nssv17972065	14:55369020-55369381							dbVar:nssv15162475;dbVar:nssv15161908;dbVar:nssv15162476;dbVar:nssv15161629;dbVar:nssv15161107;nssv15161424;dbVar:nssv15161067;dbVar:nssv17976728;dbVar:nssv15137747;dbVar:nssv17517489	14:19000423-107289053;14:19280734-107287663;14:19327824-107287663;14:19794562-107234280;14:20511674-107285437;14:20619309-107263478;14:37671059-106985955;14:39665377-57181179;14:54654002-75828024	0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00	Dystonia, DOPA-responsive, 128230 (3) AD,AR;Hyperphenylalaninemia, BH4-deficient, B, 233910 (3) AR		dbVar:nssv15120311;dbVar:nssv15121702;dbVar:nssv17969640;dbVar:nssv18787116;dbVar:nssv17970792;morbid:GCH1;HI3:GCH1;dbVar:nssv17172654;dbVar:nssv16297058;dbVar:nssv15130232;dbVar:nssv16212216	14:51057730-56753637;14:52011565-55787316;14:53241195-55803026;14:54410920-55369403;14:54416751-55369403;14:55308735-55369544;14:55308736-55369544;14:55332040-55369387;14:55343415-55414889;14:55369020-55369401;14:55369030-55369420	0.01;0.01;0.01;0.04;0.04;0.62;0.62;1.01;0.53;96.34;91.56	26	Dystonia_5;GTP_cyclohydrolase_I_deficiency										IMH	14:34547844-76392174;14:47117867-63226284;14:47118176-63226299	0.2700									0.680	0.750														3		28.56	0.50957800130836	0.480372821686871	0.661531792397911	0.39768072567718	3.01486021851349							600225			yes		1	9.0292e-01	9.4249e-01	1.0	1A (cf Gene_count, RE_gene, +0.00);2A (cf P_loss_source, +1.00);3A (1 gene, +0.00);5F (+0.00)	5
14_55369012_55369387_DEL_1	14	55369012	55369387	-376	CNV089	DEL	NA	split	q22.2	GCH1				NM_000161	3	55308734	55369544	376	343	45	yes	6	exon1-intron1	5'UTR-CDS	27	5'	55369011	55369387								dbVar:nssv17972065	14:55369020-55369381															26	Dystonia_5;GTP_cyclohydrolase_I_deficiency										IMH	14:34547844-76392174;14:47117867-63226284;14:47118176-63226299	0.2700																								3	0	28.56	0.50957800130836	0.480372821686871	0.661531792397911	0.39768072567718	3.01486021851349	GTP cyclohydrolase I deficiency;GTP cyclohydrolase I deficiency with hyperphenylalaninemia;dystonia 5	AD;AR;sD	Definitive;Strong;Supportive	11113234;11956954;15753436;19332422;19491146;20301334;24509643;25557619;30742839;32278297;787416;9667588;NULL	2643	HGNC:4193	600225	Dystonia, DOPA-responsive, 128230 (3) AD,AR;Hyperphenylalaninemia, BH4-deficient, B, 233910 (3) AR	AD,AR;AR	yes		1	9.0292e-01	9.4249e-01			full=5
14_88400110_88416379_DEL_1	14	88400110	88416379	-16270	CNV007	DEL	NA	full	q31.3	GALC	LINC02330	GPR65	1																							dbVar:nssv15770591;dbVar:nssv15770935;dbVar:nssv18791285	14:88401057-88416295;14:88401065-88406335;14:88416180-88416285							dbVar:nssv15162475;dbVar:nssv15161908;dbVar:nssv15162476;dbVar:nssv15161629;dbVar:nssv15161107;nssv15161424;dbVar:nssv15161067;dbVar:nssv17976728;dbVar:nssv15161689;dbVar:nssv15161760;dbVar:nssv15161081;dbVar:nssv18329607;dbVar:nssv18330720;dbVar:nssv15161039;dbVar:nssv16213003;dbVar:nssv17971502	14:19000423-107289053;14:19280734-107287663;14:19327824-107287663;14:19794562-107234280;14:20511674-107285437;14:20619309-107263478;14:37671059-106985955;14:73750742-107285437;14:74122476-107287505;14:77689139-107287505;14:81593709-97059276;14:84537503-107285437;14:86560375-107240869;14:88391503-88423172;14:88411888-88417102	0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.05;0.05;0.05;0.11;0.07;0.08;51.37;86.14	Krabbe disease, 245200 (3) AR		dbVar:nssv15775589;dbVar:nssv15154706;dbVar:nssv16206456;dbVar:nssv16865895;dbVar:nssv17969653;dbVar:nssv17649940;dbVar:nssv15773162;nssv15773163;dbVar:nssv15775335;dbVar:nssv15776237;dbVar:nssv17976378;morbid:GALC;dbVar:nssv15776536;dbVar:nssv16216522;dbVar:nssv15774390;nssv15774844;dbVar:nssv15772051;dbVar:nssv15130867;dbVar:nssv16213074;dbVar:nssv18830720	14:77274991-89803137;14:84783138-96908198;14:84783524-96907490;14:86089632-88429727;14:88345626-94773741;14:88391508-88423172;14:88398358-88422853;14:88398407-88422853;14:88398408-88422569;14:88399358-88429727;14:88399358-88460011;14:88399623-88422569;14:88399829-88422607;14:88400252-88422569;14:88400286-88422569;14:88401057-88417112;14:88401065-88417102;14:88401077-94725706	0.13;0.13;0.13;0.70;0.25;51.38;66.42;66.55;67.34;53.57;26.82;70.90;71.43;72.26;72.22;95.43;95.49;0.24	73	GALC-related_disorder;Galactosylceramide_beta-galactosidase_deficiency;Inborn_genetic_diseases				dbVar	chr14:88299497-88420442;chr14:88391506-88423172;chr14:88391507-88423180	0.01													chr14:88391506-88423172 dbVar;chr14:88299497-88420442 dbVar;chr14:88391507-88423180 dbVar	chr14:88299497-88420442 dbVar;chr14:88391507-88423180 dbVar;chr14:88391506-88423172 dbVar	0.345	0.280			14:88416403-88416432	AT_rich												47.35	-2.62354415217069	0.258638291301075	-2.47162789907313	0.324045467802155	-0.283647167642099							606890			yes		5	5.2142e-15	6.2835e-07	1.0	1A (cf Gene_count, RE_gene, +0.00);2A (cf P_loss_source, +1.00);3A (1 gene, +0.00);5F (+0.00)	5
14_88400110_88416379_DEL_1	14	88400110	88416379	-16270	CNV007	DEL	NA	split	q31.3	GALC				NM_001424071	1	88399357	88459198	16270	807	42	no	17	intron11-exon17	CDS-3'UTR	104	3'	88400109	88416379								dbVar:nssv15770591;dbVar:nssv15770935;dbVar:nssv18791285	14:88401057-88416295;14:88401065-88406335;14:88416180-88416285															73	GALC-related_disorder;Galactosylceramide_beta-galactosidase_deficiency;Inborn_genetic_diseases				dbVar	chr14:88299497-88420442;chr14:88391506-88423172;chr14:88391507-88423180	0.01																														30		47.35	-2.62354415217069	0.258638291301075	-2.47162789907313	0.324045467802155	-0.283647167642099	Krabbe disease	AR	Definitive;Strong	10448809;16607461;7437911;8786069;9272171	2581	HGNC:4115	606890	Krabbe disease, 245200 (3) AR	AR	yes		5	5.2142e-15	6.2835e-07			full=5
14_88400110_88416379_DEL_1	14	88400110	88416379	-16270	CNV092	DEL	NA	full	q31.3	GALC	LINC02330	GPR65	1																							dbVar:nssv15770591;dbVar:nssv15770935;dbVar:nssv18791285	14:88401057-88416295;14:88401065-88406335;14:88416180-88416285							dbVar:nssv15162475;dbVar:nssv15161908;dbVar:nssv15162476;dbVar:nssv15161629;dbVar:nssv15161107;nssv15161424;dbVar:nssv15161067;dbVar:nssv17976728;dbVar:nssv15161689;dbVar:nssv15161760;dbVar:nssv15161081;dbVar:nssv18329607;dbVar:nssv18330720;dbVar:nssv15161039;dbVar:nssv16213003;dbVar:nssv17971502	14:19000423-107289053;14:19280734-107287663;14:19327824-107287663;14:19794562-107234280;14:20511674-107285437;14:20619309-107263478;14:37671059-106985955;14:73750742-107285437;14:74122476-107287505;14:77689139-107287505;14:81593709-97059276;14:84537503-107285437;14:86560375-107240869;14:88391503-88423172;14:88411888-88417102	0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.05;0.05;0.05;0.11;0.07;0.08;51.37;86.14	Krabbe disease, 245200 (3) AR		dbVar:nssv15775589;dbVar:nssv15154706;dbVar:nssv16206456;dbVar:nssv16865895;dbVar:nssv17969653;dbVar:nssv17649940;dbVar:nssv15773162;nssv15773163;dbVar:nssv15775335;dbVar:nssv15776237;dbVar:nssv17976378;morbid:GALC;dbVar:nssv15776536;dbVar:nssv16216522;dbVar:nssv15774390;nssv15774844;dbVar:nssv15772051;dbVar:nssv15130867;dbVar:nssv16213074;dbVar:nssv18830720	14:77274991-89803137;14:84783138-96908198;14:84783524-96907490;14:86089632-88429727;14:88345626-94773741;14:88391508-88423172;14:88398358-88422853;14:88398407-88422853;14:88398408-88422569;14:88399358-88429727;14:88399358-88460011;14:88399623-88422569;14:88399829-88422607;14:88400252-88422569;14:88400286-88422569;14:88401057-88417112;14:88401065-88417102;14:88401077-94725706	0.13;0.13;0.13;0.70;0.25;51.38;66.42;66.55;67.34;53.57;26.82;70.90;71.43;72.26;72.22;95.43;95.49;0.24	73	GALC-related_disorder;Galactosylceramide_beta-galactosidase_deficiency;Inborn_genetic_diseases				dbVar	chr14:88299497-88420442;chr14:88391506-88423172;chr14:88391507-88423180	0.01													chr14:88391506-88423172 dbVar;chr14:88299497-88420442 dbVar;chr14:88391507-88423180 dbVar	chr14:88299497-88420442 dbVar;chr14:88391507-88423180 dbVar;chr14:88391506-88423172 dbVar	0.345	0.280			14:88416403-88416432	AT_rich												47.35	-2.62354415217069	0.258638291301075	-2.47162789907313	0.324045467802155	-0.283647167642099							606890			yes		5	5.2142e-15	6.2835e-07	1.0	1A (cf Gene_count, RE_gene, +0.00);2A (cf P_loss_source, +1.00);3A (1 gene, +0.00);5F (+0.00)	5
14_88400110_88416379_DEL_1	14	88400110	88416379	-16270	CNV092	DEL	NA	split	q31.3	GALC				NM_001424071	1	88399357	88459198	16270	807	42	no	17	intron11-exon17	CDS-3'UTR	104	3'	88400109	88416379								dbVar:nssv15770591;dbVar:nssv15770935;dbVar:nssv18791285	14:88401057-88416295;14:88401065-88406335;14:88416180-88416285															73	GALC-related_disorder;Galactosylceramide_beta-galactosidase_deficiency;Inborn_genetic_diseases				dbVar	chr14:88299497-88420442;chr14:88391506-88423172;chr14:88391507-88423180	0.01																														30		47.35	-2.62354415217069	0.258638291301075	-2.47162789907313	0.324045467802155	-0.283647167642099	Krabbe disease	AR	Definitive;Strong	10448809;16607461;7437911;8786069;9272171	2581	HGNC:4115	606890	Krabbe disease, 245200 (3) AR	AR	yes		5	5.2142e-15	6.2835e-07			full=5
14_88401222_88417002_DEL_1	14	88401222	88417002	-15781	CNV038	DEL	NA	full	q31.3	GALC	LINC02330	GPR65	1																							dbVar:nssv15770935	14:88416180-88416285							dbVar:nssv15162475;dbVar:nssv15161908;dbVar:nssv15162476;dbVar:nssv15161629;dbVar:nssv15161107;nssv15161424;dbVar:nssv15161067;dbVar:nssv17976728;dbVar:nssv15161689;dbVar:nssv15161760;dbVar:nssv15161081;dbVar:nssv18329607;dbVar:nssv18330720;dbVar:nssv15161039;dbVar:nssv16213003;dbVar:nssv17971502	14:19000423-107289053;14:19280734-107287663;14:19327824-107287663;14:19794562-107234280;14:20511674-107285437;14:20619309-107263478;14:37671059-106985955;14:73750742-107285437;14:74122476-107287505;14:77689139-107287505;14:81593709-97059276;14:84537503-107285437;14:86560375-107240869;14:88391503-88423172;14:88411888-88417102	0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.05;0.05;0.05;0.10;0.07;0.08;49.83;98.08	Krabbe disease, 245200 (3) AR		dbVar:nssv15775589;dbVar:nssv15154706;dbVar:nssv16206456;dbVar:nssv16865895;dbVar:nssv17969653;dbVar:nssv17649940;dbVar:nssv15773162;nssv15773163;dbVar:nssv15775335;dbVar:nssv15776237;dbVar:nssv17976378;morbid:GALC;dbVar:nssv15776536;dbVar:nssv16216522;dbVar:nssv15774390;nssv15774844;dbVar:nssv15772051;dbVar:nssv15770591;dbVar:nssv15130867;dbVar:nssv18791285;dbVar:nssv16213074;dbVar:nssv18830720	14:77274991-89803137;14:84783138-96908198;14:84783524-96907490;14:86089632-88429727;14:88345626-94773741;14:88391508-88423172;14:88398358-88422853;14:88398407-88422853;14:88398408-88422569;14:88399358-88429727;14:88399358-88460011;14:88399623-88422569;14:88399829-88422607;14:88400252-88422569;14:88400286-88422569;14:88401057-88416295;14:88401057-88417112;14:88401065-88406335;14:88401065-88417102;14:88401077-94725706	0.13;0.13;0.13;0.67;0.25;49.84;64.42;64.55;65.31;51.96;26.02;68.77;69.28;70.71;70.82;98.92;98.29;97.02;98.40;0.25	68	GALC-related_disorder;Galactosylceramide_beta-galactosidase_deficiency;Inborn_genetic_diseases				dbVar	chr14:88299497-88420442;chr14:88391506-88423172;chr14:88391507-88423180	0.01													chr14:88391506-88423172 dbVar;chr14:88299497-88420442 dbVar;chr14:88391507-88423180 dbVar	chr14:88299497-88420442 dbVar;chr14:88391507-88423180 dbVar;chr14:88391506-88423172 dbVar	0.435	0.295																47.35	-2.62354415217069	0.258638291301075	-2.47162789907313	0.324045467802155	-0.283647167642099							606890			yes		5	5.2142e-15	6.2835e-07	1.0	1A (cf Gene_count, RE_gene, +0.00);2A (cf P_loss_source, +1.00);3A (1 gene, +0.00);5F (+0.00)	5
14_88401222_88417002_DEL_1	14	88401222	88417002	-15781	CNV038	DEL	NA	split	q31.3	GALC				NM_001424071	1	88399357	88459198	15781	661	34	yes	17	intron11-exon17	CDS	0	5'	88401221	88417002								dbVar:nssv15770935	14:88416180-88416285															68	GALC-related_disorder;Galactosylceramide_beta-galactosidase_deficiency;Inborn_genetic_diseases				dbVar	chr14:88299497-88420442;chr14:88391506-88423172;chr14:88391507-88423180	0.01																														30		47.35	-2.62354415217069	0.258638291301075	-2.47162789907313	0.324045467802155	-0.283647167642099	Krabbe disease	AR	Definitive;Strong	10448809;16607461;7437911;8786069;9272171	2581	HGNC:4115	606890	Krabbe disease, 245200 (3) AR	AR	yes		5	5.2142e-15	6.2835e-07			full=5
